Ngay,Khu_vuc,Doanh_thu
2024-01-01,Ha Noi,10550266
2024-01-01,TP.HCM,13285705
2024-01-01,Da Nang,9478732
2024-01-02,Ha Noi,10492988
2024-01-02,TP.HCM,13665922
2024-01-02,Da Nang,10014200
2024-01-03,Ha Noi,10489295
2024-01-03,TP.HCM,13756302
2024-01-03,Da Nang,9545961
2024-01-04,Ha Noi,9694061
2024-01-04,TP.HCM,13532091
2024-01-04,Da Nang,10056919
2024-01-05,Ha Noi,10385637
2024-01-05,TP.HCM,13052556
2024-01-05,Da Nang,9851954
2024-01-06,Ha Noi,10454126
2024-01-06,TP.HCM,13269685
2024-01-06,Da Nang,9846117
2024-01-07,Ha Noi,10323283
2024-01-07,TP.HCM,13114217
2024-01-07,Da Nang,9907336
2024-01-08,Ha Noi,10524313
2024-01-08,TP.HCM,14449830
2024-01-08,Da Nang,10116140
2024-01-09,Ha Noi,9748932
2024-01-09,TP.HCM,13237304
2024-01-09,Da Nang,9954510
2024-01-10,Ha Noi,10505514
2024-01-10,TP.HCM,14109028
2024-01-10,Da Nang,10955819
2024-01-11,Ha Noi,10528356
2024-01-11,TP.HCM,14481339
2024-01-11,Da Nang,10086200
2024-01-12,Ha Noi,10560556
2024-01-12,TP.HCM,13610838
2024-01-12,Da Nang,10027690
2024-01-13,Ha Noi,9990869
2024-01-13,TP.HCM,13657908
2024-01-13,Da Nang,9654390
2024-01-14,Ha Noi,10332749
2024-01-14,TP.HCM,15188795
2024-01-14,Da Nang,9239820
2024-01-15,Ha Noi,10574504
2024-01-15,TP.HCM,12832370
2024-01-15,Da Nang,9658420
2024-01-16,Ha Noi,10735580
2024-01-16,TP.HCM,13838568
2024-01-16,Da Nang,9476676
2024-01-17,Ha Noi,10013878
2024-01-17,TP.HCM,14207758
2024-01-17,Da Nang,9580890
2024-01-18,Ha Noi,10386583
2024-01-18,TP.HCM,13827343
2024-01-18,Da Nang,9604519
2024-01-19,Ha Noi,11157577
2024-01-19,TP.HCM,14180351
2024-01-19,Da Nang,9192457
2024-01-20,Ha Noi,10374581
2024-01-20,TP.HCM,13402928
2024-01-20,Da Nang,10055730
2024-01-21,Ha Noi,9982991
2024-01-21,TP.HCM,13731158
2024-01-21,Da Nang,9951496
2024-01-22,Ha Noi,10646302
2024-01-22,TP.HCM,13079822
2024-01-22,Da Nang,9699649
2024-01-23,Ha Noi,10110021
2024-01-23,TP.HCM,13408002
2024-01-23,Da Nang,10329636
2024-01-24,Ha Noi,10461992
2024-01-24,TP.HCM,13043469
2024-01-24,Da Nang,10075358
2024-01-25,Ha Noi,11148862
2024-01-25,TP.HCM,14419479
2024-01-25,Da Nang,9344189
2024-01-26,Ha Noi,10106306
2024-01-26,TP.HCM,14560146
2024-01-26,Da Nang,9587699
2024-01-27,Ha Noi,10477527
2024-01-27,TP.HCM,14264780
2024-01-27,Da Nang,9521920
2024-01-28,Ha Noi,10276189
2024-01-28,TP.HCM,11855239
2024-01-28,Da Nang,9492683
2024-01-29,Ha Noi,10198972
2024-01-29,TP.HCM,13051330
2024-01-29,Da Nang,10289723
2024-01-30,Ha Noi,9727943
2024-01-30,TP.HCM,13535973
2024-01-30,Da Nang,9839222
2024-01-31,Ha Noi,10876509
2024-01-31,TP.HCM,12938482
2024-01-31,Da Nang,10148949
2024-02-01,Ha Noi,10304093
2024-02-01,TP.HCM,13211094
2024-02-01,Da Nang,9938631
2024-02-02,Ha Noi,10379623
2024-02-02,TP.HCM,13439869
2024-02-02,Da Nang,9820940
2024-02-03,Ha Noi,10145874
2024-02-03,TP.HCM,13868110
2024-02-03,Da Nang,9998639
2024-02-04,Ha Noi,10934406
2024-02-04,TP.HCM,13057310
2024-02-04,Da Nang,10439910
2024-02-05,Ha Noi,9519164
2024-02-05,TP.HCM,13708928
2024-02-05,Da Nang,9976495
2024-02-06,Ha Noi,10412396
2024-02-06,TP.HCM,13426380
2024-02-06,Da Nang,9737563
2024-02-07,Ha Noi,10102799
2024-02-07,TP.HCM,13446381
2024-02-07,Da Nang,10054880
2024-02-08,Ha Noi,10442806
2024-02-08,TP.HCM,13384254
2024-02-08,Da Nang,10069879
2024-02-09,Ha Noi,10422919
2024-02-09,TP.HCM,14287717
2024-02-09,Da Nang,9988888
2024-02-10,Ha Noi,9968401
2024-02-10,TP.HCM,13463891
2024-02-10,Da Nang,10024188
2024-02-11,Ha Noi,10544148
2024-02-11,TP.HCM,13787459
2024-02-11,Da Nang,9835198
2024-02-12,Ha Noi,10811065
2024-02-12,TP.HCM,13445057
2024-02-12,Da Nang,9964129
2024-02-13,Ha Noi,10219122
2024-02-13,TP.HCM,13669391
2024-02-13,Da Nang,10129633
2024-02-14,Ha Noi,10630166
2024-02-14,TP.HCM,14288105
2024-02-14,Da Nang,10191643
2024-02-15,Ha Noi,10308401
2024-02-15,TP.HCM,14209171
2024-02-15,Da Nang,9706919
2024-02-16,Ha Noi,10429666
2024-02-16,TP.HCM,13721914
2024-02-16,Da Nang,9829098
2024-02-17,Ha Noi,10538062
2024-02-17,TP.HCM,13309067
2024-02-17,Da Nang,10427716
2024-02-18,Ha Noi,9897593
2024-02-18,TP.HCM,13071486
2024-02-18,Da Nang,10147433
2024-02-19,Ha Noi,10616665
2024-02-19,TP.HCM,14174471
2024-02-19,Da Nang,9988503
2024-02-20,Ha Noi,10295101
2024-02-20,TP.HCM,13261647
2024-02-20,Da Nang,9822741
2024-02-21,Ha Noi,10029135
2024-02-21,TP.HCM,14385071
2024-02-21,Da Nang,9755882
2024-02-22,Ha Noi,9969801
2024-02-22,TP.HCM,13607168
2024-02-22,Da Nang,9923879
2024-02-23,Ha Noi,10074510
2024-02-23,TP.HCM,13306667
2024-02-23,Da Nang,9873106
2024-02-24,Ha Noi,10397986
2024-02-24,TP.HCM,13495834
2024-02-24,Da Nang,9658688
2024-02-25,Ha Noi,10392819
2024-02-25,TP.HCM,12931149
2024-02-25,Da Nang,9377760
